DATE,ZULASSIGE GESAMTMASSE IN KG,PERSONENKRAFTWAGEN,DARUNTER WOHNMOBILE
202503,28001 - 30000,,
202503,30001 - 40000,,
202503,40001 - 50000,,
202503,50001 UND MEHR,,
202503,UNBEKANNT,18.0,18.0
202504,BIS 500,,
202504,501 - 800,1.0,
202504,801 - 1000,8.0,
202504,1001 - 1200,,
202504,1201 - 1400,3752.0,
202504,1401 - 1700,25909.0,
202504,1701 - 2000,59578.0,
202504,2001 - 2500,85404.0,15.0
202504,2501 - 2800,32977.0,37.0
202504,2801 - 3000,13219.0,403.0
202504,3001 - 3500,19780.0,7675.0
202504,3501 - 4000,403.0,389.0
202504,4001 - 5000,1348.0,1251.0
202504,5001 - 6000,198.0,149.0
202504,6001 - 7000,23.0,20.0
202504,7001 - 7500,86.0,85.0
202504,7501 - 8000,,
202504,8001 - 9000,1.0,1.0
202504,9001 - 10000,,
202504,10001 - 12000,8.0,8.0
202504,12001 - 14000,,
202504,14001 - 16000,3.0,3.0
202504,16001 - 18000,,
202504,18001 - 20000,,
202504,20001 - 22000,,
202504,22001 - 24000,,
202504,24001 - 26000,,
202504,26001 - 28000,,
202504,28001 - 30000,,
202504,30001 - 40000,,
202504,40001 - 50000,,
202504,50001 UND MEHR,,
202504,UNBEKANNT,30.0,29.0
