KBA-Referenznummer;Rckrufcode des Herstellers;Verffentlichungsdatum;Marke;Modell;Mangelbezeichnung;Produktionszeitraum von;Produktionszeitraum bis;Rckrufseite des Herstellers;Mangelbeschreibung;Titel der Manahme;Beschreibung der Manahme;Mgliche Eingrenzung der betroffenen Modelle;Bekannte Vorflle mit Sach- und/oder Personenschden;Anzahl potentiell betroffene Fahrzeugteile weltweit;Anzahl potentiell betroffene Fahrzeugteile
1158;0AJH;39448;RENAULT;ESPACE, LAGUNA, VEL SATIS;Die Leitung der Abgasrückführung kann innen korrodieren und zum Leistungsverlust des Motors führen. Betroffen sind Fahrzeuge mit 2,2l Dieselmotor.;2001;2005;N/A;Die Leitung der Abgasrückführung kann innen korrodieren und zum Leistungsverlust des Motors führen. Betroffen sind Fahrzeuge mit 2,2l Dieselmotor.;;;N/A;N/A;N/A;26000
1165;0830;39448;BUELL;LIGHTNING XB12S, LIGHTNING CITYX XB9SX, FIREBOLT XB12R;Ein mangelhafter Seitenständer-Gelenkzapfen verhindert eventuell das automatische Einklappen des Seitenständers vor Antritt der Fahrt.;2005;2005;N/A;Ein mangelhafter Seitenständer-Gelenkzapfen verhindert eventuell das automatische Einklappen des Seitenständers vor Antritt der Fahrt.;;;N/A;N/A;N/A;22
1167;E91;39448;IVECO;EUROCARGO;Falscher Anschluss der Bremsleitungen führt zu einer falschen Bremskreisaufteilung.;2002;2004;N/A;Falscher Anschluss der Bremsleitungen führt zu einer falschen Bremskreisaufteilung.;;;N/A;N/A;N/A;3550
1175;D156;39448;LAND ROVER;DISCOVERY, RANGE ROVER;Risse im Kraftstofftank können zum Verlust von Kraftstoff führen. Betroffen sind nur Fahrzeuge mit Benzinmotor.;1993;1998;N/A;Risse im Kraftstofftank können zum Verlust von Kraftstoff führen. Betroffen sind nur Fahrzeuge mit Benzinmotor.;;;N/A;N/A;N/A;384
1178;4796;39448;ALFA ROMEO;147;Durch Überhitzung der elektrischen Zusatzheizung kann es zum Brand im Armaturenbrett kommen.;2000;2004;N/A;Durch Überhitzung der elektrischen Zusatzheizung kann es zum Brand im Armaturenbrett kommen.;;;N/A;N/A;N/A;3086
1185;N/A;39448;YAMAHA;YP125R;Die Beschädigung des vorderen Bremsschlauchs kann zu verminderter Bremsleistung führen.;2001;2005;N/A;Die Beschädigung des vorderen Bremsschlauchs kann zu verminderter Bremsleistung führen.;;;N/A;N/A;N/A;4997
1129;0AHN;39448;RENAULT;VEL SATIS, ESPACE;Neuprogrammierung des Einspritzsteuergerätes wegen unzureichender Abgasemissionswerte. Betroffen sind Fahrzeuge mit 3.5l Benzinmotor.;2001;2005;N/A;Neuprogrammierung des Einspritzsteuergerätes wegen unzureichender Abgasemissionswerte. Betroffen sind Fahrzeuge mit 3.5l Benzinmotor.;;;N/A;N/A;N/A;1105
1028;D37;39448;CHRYSLER;VOYAGER;Der Rücklaufschlauch der Servolenkung kann platzen, wodurch sich das Hydrauliköl an heißen Teilen entzünden kann.;2002;2004;N/A;Der Rücklaufschlauch der Servolenkung kann platzen, wodurch sich das Hydrauliköl an heißen Teilen entzünden kann.;;;N/A;N/A;N/A;1048
0971;4964;39448;FIAT;ULYSSE;Das Lösen der Motorverkleidung kann möglicherweise zu Verkehrsgefährdungen führen.;2001;2004;N/A;Das Lösen der Motorverkleidung kann möglicherweise zu Verkehrsgefährdungen führen.;;;N/A;N/A;N/A;3647
0800;R513;39448;JAGUAR;XJ, S-TYPE, XK;Das Automatikgetriebe schaltet unbeabsichtigt  in den Rückwärtsgang. Betroffen sind Fahrzeuge mit 6-Gang-Getriebe.;2002;2004;N/A;Das Automatikgetriebe schaltet unbeabsichtigt  in den Rückwärtsgang. Betroffen sind Fahrzeuge mit 6-Gang-Getriebe.;;;N/A;N/A;N/A;4917
0987;4K1E-0200;39448;TOYOTA;MR2, YARIS, COROLLA, CELICA, YARIS VERSO;Ein undichter Hauptbremszylinder führt zur Verschlechterung des Bremsverhaltens.;1998;2000;N/A;Ein undichter Hauptbremszylinder führt zur Verschlechterung des Bremsverhaltens.;;;N/A;N/A;N/A;43447
0993;OSB 04-5C-20A;39448;DAEWOO;MATIZ;Sich möglicherweise aushängendes Kupplungsseil verhindert das Betätigen der Kupplung;2004;2004;N/A;Sich möglicherweise aushängendes Kupplungsseil verhindert das Betätigen der Kupplung;;;N/A;N/A;N/A;5060
0882;Keine Angabe;39448;SUZUKI;IGNIS;Ungenügende Verlegung des Batteriemassekabels kann zu seiner Beschädigung führen.;2003;2004;N/A;Ungenügende Verlegung des Batteriemassekabels kann zu seiner Beschädigung führen.;;;N/A;N/A;N/A;254
0887;4770;39448;ALFA ROMEO;147, 156;Die Motorhaube kann sich aufgrund mangelnder Wartung des Verschlussmechanismus während der Fahrt öffnen.;2000;2003;N/A;Die Motorhaube kann sich aufgrund mangelnder Wartung des Verschlussmechanismus während der Fahrt öffnen.;;;N/A;N/A;N/A;52050
0920;4K1E-0132;39448;LEXUS;LS;Die Getriebeparksperre kann unter Umständen nicht einrasten, sodass das Fahrzeug wegrollen kann. Betroffen sind Fahrzeuge LS430.;2003;2004;N/A;Die Getriebeparksperre kann unter Umständen nicht einrasten, sodass das Fahrzeug wegrollen kann. Betroffen sind Fahrzeuge LS430.;;;N/A;N/A;N/A;213
1048;4K1E-277;39448;TOYOTA;AVENSIS;Korrosion verursacht Undichtigkeiten am Kraftstofffüllrohr bzw. der Entlüftungsleitung, sodass Kraftstoff austritt.;2001;2002;N/A;Korrosion verursacht Undichtigkeiten am Kraftstofffüllrohr bzw. der Entlüftungsleitung, sodass Kraftstoff austritt.;;;N/A;N/A;N/A;3949
1058;JPEU;39448;SUZUKI;LIANA;Bei Fahrzeugen mit Dieselmotor könnten sich lockernde Befestigungsschrauben des Tellerrades  zum Lösen des Tellerrades und zur Beschädigung des Differentialgehäuses führen.;2004;2004;N/A;Bei Fahrzeugen mit Dieselmotor könnten sich lockernde Befestigungsschrauben des Tellerrades  zum Lösen des Tellerrades und zur Beschädigung des Differentialgehäuses führen.;;;N/A;N/A;N/A;601
1373;XTX;39448;CITROEN;C8;Möglicher Wassereintritt in das Steuergerät kann zur Airbagauslösung führen.;2002;2004;N/A;Möglicher Wassereintritt in das Steuergerät kann zur Airbagauslösung führen.;;;N/A;N/A;N/A;761
1384;13S299LUK;39448;SEAT;ALTEA, LEON, TOLEDO;Nicht richtig ausgelegter Druckminderer kann zur Beschädigung des Zweimassenschwungrades führen.;2004;2006;N/A;Nicht richtig ausgelegter Druckminderer kann zur Beschädigung des Zweimassenschwungrades führen.;;;N/A;N/A;N/A;5000
1416;0ANW;39448;RENAULT;SCENIC;Durch Spiel des Gurtschlosses am Sitz kann sich das Gurtschloss lösen.;2003;2005;N/A;Durch Spiel des Gurtschlosses am Sitz kann sich das Gurtschloss lösen.;;;N/A;N/A;N/A;84720
1398;HUCX;39448;SUZUKI;SWIFT;Durch fehlerhafte Füllschläuche für die hydraulische Kupplungsbetätigung kann die Funktion der Kupplung beeinträchtigt werden.;2005;2005;N/A;Durch fehlerhafte Füllschläuche für die hydraulische Kupplungsbetätigung kann die Funktion der Kupplung beeinträchtigt werden.;;;N/A;N/A;N/A;6000
1399;R0513;39448;NISSAN;X-TRAIL;Korrosion am Kraftstoffeinfüllstutzen kann zum Verlust von Kraftstoff führen.;2000;2004;N/A;Korrosion am Kraftstoffeinfüllstutzen kann zum Verlust von Kraftstoff führen.;;;N/A;N/A;N/A;33390
1269;05037;39448;CHEVROLET;AVALANCHE, SUBURBAN, SILVERADO, TAHOE;Ein durch die Sitzschlaufe des hinteren, mittleren Sitzes gezogener Sicherheitsgurt erschwert das korrekte Anlegen des Gurtes und erhöht das Verletzungsrisiko.;2003;2005;N/A;Ein durch die Sitzschlaufe des hinteren, mittleren Sitzes gezogener Sicherheitsgurt erschwert das korrekte Anlegen des Gurtes und erhöht das Verletzungsrisiko.;;;N/A;N/A;N/A;320
1061;A502;39448;PORSCHE;911;Ein unzureichend dimensioniertes Zahnrad des Verriegelungsmotors kann zum unbeabsichtigten Öffnen des Cabrioverdecks führen. Betroffen sind Cabrio-Fahrzeuge 911 Carrera und 911 Carrera 4.;1993;1998;N/A;Ein unzureichend dimensioniertes Zahnrad des Verriegelungsmotors kann zum unbeabsichtigten Öffnen des Cabrioverdecks führen. Betroffen sind Cabrio-Fahrzeuge 911 Carrera und 911 Carrera 4.;;;N/A;N/A;N/A;6003
1295;EM-006/05;39448;NISSAN;X-TRAIL, PRIMERA;Eine undichte Fassung der Lambdasonde führt zu einem Abgasaustritt.;2001;2003;N/A;Eine undichte Fassung der Lambdasonde führt zu einem Abgasaustritt.;;;N/A;N/A;N/A;7070
1334;DC897;39448;KAWASAKI;KVF750;Das Kugelgelenk am Achsschenkel kann ausbrechen und zur Unlenkbarkeit führen.;2005;2005;N/A;Das Kugelgelenk am Achsschenkel kann ausbrechen und zur Unlenkbarkeit führen.;;;N/A;N/A;N/A;206
1335;0AJF;39448;RENAULT;ESPACE, VEL SATIS;Die Dämpfung der Kurbelwellen-Riemenscheibe kann beschädigt werden und den Antrieb der Lenkunterstützung unterbrechen. Es sind nur Fahrzeuge mit 2,2 l-Dieselmotor betroffen.;2001;2003;N/A;Die Dämpfung der Kurbelwellen-Riemenscheibe kann beschädigt werden und den Antrieb der Lenkunterstützung unterbrechen. Es sind nur Fahrzeuge mit 2,2 l-Dieselmotor betroffen.;;;N/A;N/A;N/A;15514
1351;N/A;39448;KIA;CARNIVAL;Nicht korrekte Verlegung der Kabel der elektrischen Sitzverstellung kann zum Kurzschluss führen.;2001;2004;N/A;Nicht korrekte Verlegung der Kabel der elektrischen Sitzverstellung kann zum Kurzschluss führen.;;;N/A;N/A;N/A;14675
1190;X8Z;39448;PEUGEOT;307;Korrosion an der elektrischen Zuleitung der Servolenkungspumpe im Motorraum kann einen Kurzschluss verursachen und zum Fahrzeugbrand führen.;2001;2003;N/A;Korrosion an der elektrischen Zuleitung der Servolenkungspumpe im Motorraum kann einen Kurzschluss verursachen und zum Fahrzeugbrand führen.;;;N/A;N/A;N/A;45668
1203;4967;39448;FIAT;ULYSSE;Nicht korrekte Software des Einspritzsteuergerätes führt zum Aufleuchten der Fehleranzeige und zu reduzierter Bremskraftunterstützung im Leerlaufbetrieb. Betroffen sind Fahrzeuge mit Benzinmotor und einer Motorleistung von 100 KW.;2003;2004;N/A;Nicht korrekte Software des Einspritzsteuergerätes führt zum Aufleuchten der Fehleranzeige und zu reduzierter Bremskraftunterstützung im Leerlaufbetrieb. Betroffen sind Fahrzeuge mit Benzinmotor und einer Motorleistung von 100 KW.;;;N/A;N/A;N/A;345
1212;5C030;39448;FORD;GALAXY;Nicht richtig ausgelegter Druckminderer kann zur Beschädigung des Zweimassenschwungrades führen.;2002;2003;N/A;Nicht richtig ausgelegter Druckminderer kann zur Beschädigung des Zweimassenschwungrades führen.;;;N/A;N/A;N/A;2625
1223;200505;39448;SUBARU;LEGACY;Durch einen Montagefehler kann die Türverriegelung unzureichend sein.;2004;2005;N/A;Durch einen Montagefehler kann die Türverriegelung unzureichend sein.;;;N/A;N/A;N/A;4121
1863;7K1E-0433;39448;TOYOTA;AYGO;Nicht der Spezifikation entsprechende Verbindung zwischen Kraftstofftank und Einfüllstutzen kann zu Kraftstoffverlust führen;2007;2007;N/A;Nicht der Spezifikation entsprechende Verbindung zwischen Kraftstofftank und Einfüllstutzen kann zu Kraftstoffverlust führen;;;N/A;N/A;N/A;127
1887;ENL07-030-SR;39448;MITSUBISHI;PAJERO;Bolzen des Umlenkhebels im Automatikgetriebe kann brechen, sodass eine Gangwahl nicht mehr möglich ist.;2006;2007;N/A;Bolzen des Umlenkhebels im Automatikgetriebe kann brechen, sodass eine Gangwahl nicht mehr möglich ist.;;;N/A;N/A;N/A;660
1888;44G3;39448;VW;T5;Ein Spannstift aus der Montagelinie kann den rechten vorderen Reifen beschädigt haben.;2007;2008;N/A;Ein Spannstift aus der Montagelinie kann den rechten vorderen Reifen beschädigt haben.;;;N/A;N/A;N/A;400
1927;0AV5;39448;RENAULT;VEL SATIS, LAGUNA, ESPACE;Ausgangsleitung des Ladeluftkühlers kann brechen, wodurch sich der Partikelfilter zusetzen kann.Gleichzeitig wird bei bestimmten Fahrzeugen eine Neuprogrammierung des Einspritzsteuergerätes durchgeführt.;2005;2006;N/A;Ausgangsleitung des Ladeluftkühlers kann brechen, wodurch sich der Partikelfilter zusetzen kann.Gleichzeitig wird bei bestimmten Fahrzeugen eine Neuprogrammierung des Einspritzsteuergerätes durchgeführt.;;;N/A;N/A;N/A;3136
1447;N/A;39567;MOTO GUZZI;CALIFORNIA 1100;Risse in der Gabelbrücke der Teleskopgabel;2002;2004;N/A;Risse in der Gabelbrücke der Teleskopgabel;;;N/A;N/A;N/A;900
1670;N/A;39448;MASERATI;QUATTROPORTE;Wegen falscher Beschreibung der Aktivierung der Kindersicherung wird die Sicherung nicht aktiv.;2004;2006;N/A;Wegen falscher Beschreibung der Aktivierung der Kindersicherung wird die Sicherung nicht aktiv.;;;N/A;N/A;N/A;653
1792;DIKRAFTLEI;39448;MERCEDES-BENZ;VITO, VIANO;Mögliche Undichtigkeit oder Trennung an der Clip-Verbindungsstelle der beiden Kraftstoffvorlaufleitungen vom Tank zum Motor. Betroffen sind nur 4-Zylinder-Dieselmotoren.;2006;2007;N/A;Mögliche Undichtigkeit oder Trennung an der Clip-Verbindungsstelle der beiden Kraftstoffvorlaufleitungen vom Tank zum Motor. Betroffen sind nur 4-Zylinder-Dieselmotoren.;;;N/A;N/A;N/A;377
1577;5C983;39448;FORD;RANGER, EXCURSION, TAURUS, EXPLORER, CROWN VICTORIA, F-SERIE, EXPEDITION;Deaktivierungsschalter des Geschwindigkeitsregelsystems kann überhitzen (Brandgefahr).;1992;2004;N/A;Deaktivierungsschalter des Geschwindigkeitsregelsystems kann überhitzen (Brandgefahr).;;;N/A;N/A;N/A;2000
1287;0122;39448;HARLEY-DAVIDSON;LOW RIDER, DEFENDER, SUPER GLIDE, WIDE GLIDE;Ein falsch verlegter Gasseilzug Gaszug kann den Tank durchscheuern.;2003;2004;N/A;Ein falsch verlegter Gasseilzug Gaszug kann den Tank durchscheuern.;N/A;FXDLI, FXDWGI, FXDI, FXDXI, FXDP;N/A;N/A;N/A;145
1356;44G1;39448;AUDI;A8;Blasenbildung in der Reifenseitenwand kann zu schlagartigem Luftverlust führen (bei Ausrüstung mit Reifen des Herstellers Michelin, Typ Pilot Sport, Größe 255/35ZR20 97Y);2000;2004;N/A;Blasenbildung in der Reifenseitenwand kann zu schlagartigem Luftverlust führen (bei Ausrüstung mit Reifen des Herstellers Michelin, Typ Pilot Sport, Größe 255/35ZR20 97Y);;;N/A;N/A;N/A;889
1676;06030;39448;CHEVROLET;COLORADO;Unzureichende Funktion des Bremslichtschalters;2004;2006;N/A;Unzureichende Funktion des Bremslichtschalters;;;N/A;N/A;N/A;13
1686;JPMN;39448;SUZUKI;IGNIS;Durch nicht ausreichende Abstützung der Airbageinheit ist der Beifahrerairbag in seiner Wirkung beeinträchtigt.;2003;2006;N/A;Durch nicht ausreichende Abstützung der Airbageinheit ist der Beifahrerairbag in seiner Wirkung beeinträchtigt.;;;N/A;N/A;N/A;1123
1482;N/A;39448;MAZDA;6, 5;Unzureichend bearbeitete Nockenwellen-Sensorscheiben können falsche Nockenwellensignale verursachen und zum Motorstillstand führen (Fahrzeuge mit 2.0l-Dieselmotor).;2005;2005;N/A;Unzureichend bearbeitete Nockenwellen-Sensorscheiben können falsche Nockenwellensignale verursachen und zum Motorstillstand führen (Fahrzeuge mit 2.0l-Dieselmotor).;;;N/A;N/A;N/A;3342
1489;06-C-006;39448;OPEL;SPEEDSTER;Unzureichende Wärmebehandlung der Leichtmetallräder der Hinterachse kann zum Bruch der Räder führen.;2001;2002;N/A;Unzureichende Wärmebehandlung der Leichtmetallräder der Hinterachse kann zum Bruch der Räder führen.;;;N/A;N/A;N/A;1643
1490;06-R-008;39448;OPEL;SPEEDSTER;Nicht der Spezifikation entsprechender Unterdruckschlauch zum Bremskraftverstärker führt zu Reduzierung der Bremsleistung.;2001;2003;N/A;Nicht der Spezifikation entsprechender Unterdruckschlauch zum Bremskraftverstärker führt zu Reduzierung der Bremsleistung.;;;N/A;N/A;N/A;2853
1841;ATV-07-01-A;39448;POLARIS;HAWKEYE;Unzureichende Materialdicke im Bereich der Befestigung von Dreieckslenker und Kugelgelenk kann zum Bruch und zur Unlenkbarkeit führen;2006;2006;N/A;Unzureichende Materialdicke im Bereich der Befestigung von Dreieckslenker und Kugelgelenk kann zum Bruch und zur Unlenkbarkeit führen;;;N/A;N/A;N/A;24
1850;42E4;39769;VW;CADDY;Fehlerhafte Wärmebehandlung der Federbügel zur Befestigung der Hinterachse an der Blattfeder kann zum Führungsverlust der Hinterachse führen.;2006;2006;N/A;Fehlerhafte Wärmebehandlung der Federbügel zur Befestigung der Hinterachse an der Blattfeder kann zum Führungsverlust der Hinterachse führen.;;;N/A;N/A;N/A;2200
1581;0831;39448;BUELL;ULYSSES XB12X;Unzureichende Befestigungsteile können zum Verlieren des Windschildes führen.;2006;2007;N/A;Unzureichende Befestigungsteile können zum Verlieren des Windschildes führen.;;;N/A;N/A;N/A;296
1782;P001;39448;LAND ROVER;DISCOVERY;Undichtigkeit im Kraftstoffverdunstungsrückhaltesystem bei Benzinmotoren.;2005;2006;N/A;Undichtigkeit im Kraftstoffverdunstungsrückhaltesystem bei Benzinmotoren.;;;N/A;N/A;N/A;15
1787;7K1E-0072;39448;TOYOTA;YARIS;Unzureichende Kopfstützenverriegelung kann zum Lösen der Kopfstützen beim Unfall führen.  Seitenairbag kann sich durch zu festen Aufbau des Vordersitzlehnenpolsters nicht richtig entfalten.;2005;2006;N/A;Unzureichende Kopfstützenverriegelung kann zum Lösen der Kopfstützen beim Unfall führen.  Seitenairbag kann sich durch zu festen Aufbau des Vordersitzlehnenpolsters nicht richtig entfalten.;;;N/A;N/A;N/A;20174
1789;N/A;39448;KTM;990 SUPER DUKE;Die Ablösung des Bremsbelages vom Belagträger kann zu unzureichender Abbremsung führen.;2006;2006;N/A;Die Ablösung des Bremsbelages vom Belagträger kann zu unzureichender Abbremsung führen.;;;N/A;N/A;N/A;307
1820;N/A;39448;MAZDA;TRIBUTE;Mangelhafte Kabeldichtungen am Stecker des ABS-Moduls können zu Korrosion und Kurzschlüssen führen. Es kann zu einem Brand kommen.;2000;2003;N/A;Mangelhafte Kabeldichtungen am Stecker des ABS-Moduls können zu Korrosion und Kurzschlüssen führen. Es kann zu einem Brand kommen.;;;N/A;N/A;N/A;8314
1834;3295021;39448;MERCEDES-BENZ;S-KLASSE, CL AMG, CL, S-KLASSE AMG;Durch Korrosion kann die Hydraulikleitung (ABC-Verteilerleitung) der aktiven Fahrwerksregelung undicht werden. Betroffen sind nur Fahrzeuge mit 6- und 8-Zylinder Motorisierung.;1998;2004;N/A;Durch Korrosion kann die Hydraulikleitung (ABC-Verteilerleitung) der aktiven Fahrwerksregelung undicht werden. Betroffen sind nur Fahrzeuge mit 6- und 8-Zylinder Motorisierung.;;;N/A;N/A;N/A;13024
1595;N/A;39448;YAMAHA;XV1600 WILDSTAR;Eine Getriebeblockade kann zu einer Sturzgefahr führen.;1999;2002;N/A;Eine Getriebeblockade kann zu einer Sturzgefahr führen.;;;N/A;N/A;N/A;5033
1602;W0030, W0041, W0042;39448;ISUZU;TROOPER;Eine Undichtigkeit der Einspritzdüsen führt zur Anreicherung des Motoröls mit Dieselkraftstoff und zu erhöhten Motordrehzahlen.;1998;2005;N/A;Eine Undichtigkeit der Einspritzdüsen führt zur Anreicherung des Motoröls mit Dieselkraftstoff und zu erhöhten Motordrehzahlen.;;;N/A;N/A;N/A;1049
1496;06503;39448;CADILLAC;SRX, XLR;Falsche Programmierung des Motorsteuergerätes führt zu unzulässigen Abgasemissionen.  Betroffen sind Fahrzeuge mit 4,6 l-Motor.;2004;2004;N/A;Falsche Programmierung des Motorsteuergerätes führt zu unzulässigen Abgasemissionen.  Betroffen sind Fahrzeuge mit 4,6 l-Motor.;;;N/A;N/A;N/A;20
1714;F25;39448;JEEP;GRAND CHEROKEE;Kunststoffflügel des Kühlerlüfters können brechen;2000;2002;N/A;Kunststoffflügel des Kühlerlüfters können brechen;;;N/A;N/A;N/A;1390
1716;87B3;39833;VW;GOLF;Aufgrund eines Verschraubungsfehlers wurde die Masseleitung nicht immer ordnungsgemäß am Anschluss des elektrischen Heizelements verschraubt. Dies kann zum Kurzschluss und Fahrzeugbrand führen.;2006;2007;N/A;Aufgrund eines Verschraubungsfehlers wurde die Masseleitung nicht immer ordnungsgemäß am Anschluss des elektrischen Heizelements verschraubt. Dies kann zum Kurzschluss und Fahrzeugbrand führen.;;;N/A;N/A;N/A;11600
1732;0129;39448;HARLEY-DAVIDSON;SUPER GLIDE, LOW RIDER, XL 50, STREET BOB, SPORTSTER;Falsch montierte Reifen auf 19-Zoll-Vorderrädern können zu unkontrolliertem Fahrverhalten führen.;2006;2007;N/A;Falsch montierte Reifen auf 19-Zoll-Vorderrädern können zu unkontrolliertem Fahrverhalten führen.;;;FXD, FXDB, FXDC, FXDL, XL883, XL883L, XL883R, XL1200L, XL1200R, XL50;N/A;N/A;29
1743;RIOCS1;39448;KIA;RIO;Die Radschüssel kann Anrisse bekommen.;2000;2000;N/A;Die Radschüssel kann Anrisse bekommen.;;;N/A;N/A;N/A;1600
1542;69G3;39448;AUDI;A3;Schleichender Gasverlust im Gasgenerator für die Kopfairbags führt zur Unwirksamkeit der Airbags.;2005;2005;N/A;Schleichender Gasverlust im Gasgenerator für die Kopfairbags führt zur Unwirksamkeit der Airbags.;;;N/A;N/A;N/A;219
1756;72C3;39448;VW;T5;Die Rückenlehne in der zweiten Sitzreihe rastet nicht vollständig ein, sodass die Schutzwirkung des daran befestigten Sicherheitsgurtes eingeschränkt sein könnte.;2004;2007;N/A;Die Rückenlehne in der zweiten Sitzreihe rastet nicht vollständig ein, sodass die Schutzwirkung des daran befestigten Sicherheitsgurtes eingeschränkt sein könnte.;;;N/A;N/A;N/A;200
1758;R26115;39448;VOLVO;XC90, V70, XC70, S60;Kurzschluss im Kühlerlüfter kann zum Kabelbrand oder zur Überhitzung des Motors führen.;2007;2007;N/A;Kurzschluss im Kühlerlüfter kann zum Kabelbrand oder zur Überhitzung des Motors führen.;;;N/A;N/A;N/A;323
1762;5RL;39448;HONDA;ACCORD, FR-V, JAZZ;Mangelhaftes Kraftstoffpumpenrelais kann zum Motorstillstand führen.;2005;2005;N/A;Mangelhaftes Kraftstoffpumpenrelais kann zum Motorstillstand führen.;;;N/A;N/A;N/A;2000
2088;KY-MXU-1-03.2008;39563;KYMCO;MXU500;Die Verbindungsschraube zwischen Hinterradaufhängung und Rahmen kann sich lösen und zum Kontrollverlust über das Fahrzeug führen.;2006;2008;N/A;Die Verbindungsschraube zwischen Hinterradaufhängung und Rahmen kann sich lösen und zum Kontrollverlust über das Fahrzeug führen.;;;N/A;N/A;N/A;1560
2097;06030;39448;GMC;CANYON;Unzureichende Funktion des Bremslichtschalters;2004;2006;N/A;Unzureichende Funktion des Bremslichtschalters;;;N/A;N/A;N/A;13
1957;5205;39448;FIAT;IDEA;Eine unzureichend geschweißte Vorderachstraverse kann brechen und die Kontrolle über das Fahrzeug kann verloren gehen.;2005;2005;N/A;Eine unzureichend geschweißte Vorderachstraverse kann brechen und die Kontrolle über das Fahrzeug kann verloren gehen.;;;N/A;N/A;N/A;750
2026;A802;39825;PORSCHE;911;Mangelhafte Schalterkonsole zeigt falschen Zustand der Traktionskontrolle an. Weiterhin kann die aktive Fahrwerksregelung ausfallen.;2007;2007;N/A;Mangelhafte Schalterkonsole zeigt falschen Zustand der Traktionskontrolle an. Weiterhin kann die aktive Fahrwerksregelung ausfallen.;;;N/A;N/A;N/A;78
