Type of alert;Type;Alert number;Alert submitted by;Country of origin;Counterfeit;Risk type;Risk legal provision;Product;Name;Description;Brand;Category;Type / number of model;OECD Portal category;Risk;Compulsory measures;Voluntary measures;Products were found and measures were taken also in;Company recall page;Barcode;Batch number;Company recall code (**);Production dates (**);Packaging description
Serious risk;Consumer;A12/00095/19;Germany;Germany;No;Injuries; ;Passenger van / Light commercial vehicle;Metris, Vito, V-Class;Passenger van / Light commercial vehicle under Mercedes-Benz recall code VS2KOPFSTU (9295053).;Mercedes-Benz;Motor vehicles;Type-approval numbers: e1*2007/46*0457*19, *21, e1*2007/46*0458*14, e1*2007/46*0459*10, Types: 639/2, 639/4, 639/5;77000000 - Automotive;The upholstery of the headrests may become detached. This could increase the risk of injury in the event of an accident. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Greece, Portugal, Sweden;;;;VS2KOPFSTU (9295053);30 January 2019 to 1 May 2019;
Serious risk;Consumer;A12/00071/19;Germany;Germany;No;Injuries; ;Passenger van / Light commercial vehicle;Sprinter ;Passenger van / Light commercial vehicle under Mercedes-Benz recall code VS3SITZVER.;Mercedes-Benz;Motor vehicles;Type-approval numbers: e1*2001/116*0354*22, e1*2007/46*0294*10, e1*2007/46*0296*10, e1*2007/46*0300*15, e1*2007/46*0301*17, e1*2007/46*1760*00, e1*2007/46*1761*00, Types: 906AC35, 906BA50, 906BB50, 906BA35, 906BB35, KL3A4, FL3A4;77000000 - Automotive;"The welding of the front seat height adjustment mechanism can be defective.
This can lead to an increased risk of injury in the event of an accident. ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Estonia, Finland, France, Poland, Sweden, Slovenia;;;;VS3SITZVER;21 October 2018 to 21 November 2018;
Serious risk;Consumer;A12/00046/19;Portugal;Japan;No;Injuries; ;Passenger car;Camry;Passenger car under Toyota recall code: 19SMD-097.;Toyota;Motor vehicles;"Model code: ASV70, GSV70, AXVH71; Model year: 2019, e6*2007/46*0322*";77000000 - Automotive;"In the rear dual mode locking seat belt assemblies, the spring in the webbing sensor locking mechanism might have been installed in an incorrect position.

Consequently, the spring might impair the locking of the seat belt, thus increasing the risk of injuries in the event of an accident.
";;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Germany, Denmark, Estonia, Finland, Poland, Romania, Sweden, Slovenia, Slovakia;;;;19SMD-097;The affected vehicles were manufactured between 19 August  2019 and 6 September 2019.;
Serious risk;Consumer;A12/00167/20;Italy;Italy;No;Injuries;Consequently, hydrogen could leak into the brake fluid, causing an extended brake lever travel, decreasing the braking capacity and increasing the risk of accident.;Motorcycle;Vespa GTS 125-300, Vespa GTV300;Motorcycle.;Piaggio;Motor vehicles;Model 2019;77000000 - Automotive;The brake line terminals might have been incorrectly galvanised. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Spain, Finland, France, Greece, Croatia, Ireland, Luxembourg, The Netherlands, Poland, Sweden, Slovenia;;;;PP2ZZQ1904_GTS;03/10/2018 to 05/07/2019;
Serious risk;Consumer;A12/00086/20;Italy;Taiwan;No;Injuries; ;Motorcycle;QUADRO3;Three-wheel motorcycle under Quadro recall code: 001/2019.;Quadro;Motor vehicles;Type-approval number: e9*168/2013*11005*00 ;77000000 - Automotive;The backrest/carrier (Sissy bar) is not sufficiently strong and could break. This can lead to loss of the load, posing a risk to the following traffic.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Warning consumers of the risks
Date of entry into force: Unknown";Germany, Sweden, Slovenia;;;;001/2019;The affected vehicles were manufactured between October 2016 and May 2019.;
Serious risk;Professional;A12/00008/20;Germany;Germany;No;Fire;No information.;Bus;Citaro, Capacity;Bus;Evobus;Motor vehicles;Models: 628 02, 628 03, 628 09, Type approval numbers: e1*2007/46*0087, e1*2007/46*0090, e1*NKS*0050;77000000 - Automotive;The roof unit may be defectively sealed. Rainwater may seep into the vehicle interior through the roof opening via the joints for the air-conditioning system’s roof module. The roof opening is located directly above a circuit board in the transverse duct, posing a risk of fire.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;83.30M19064A;December 2012 to September 2019;
Serious risk;Consumer;A12/00034/20;Germany;Spain;No;Injuries; ;Passenger van / Light commercial vehicle;C3 Aircross, Berlingo;Passenger car under Citroen recall code: HAR.;CITROEN;Motor vehicles;Type-approval numbers: e2*2007/46*0624*04+*05, e2*2007/46*0625*05, e4*2007/46*1241*07, Types: E, 2;77000000 - Automotive;"The steering column is not manufactured according to specifications.
This may result in steering failure and loss of control over the vehicle, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Spain, France, Croatia, Ireland, Malta, Portugal, Slovakia;;;;HAR;The affected vehicles were manufactured between 22 June and 15 July 2019.;
Serious risk;Consumer;A12/00009/20;Germany;Spain;No;Injuries; ;Passenger van / Light commercial vehicle;Rifter, Partner;Passenger car under Peugeot recall code: JTV.;Peugeot;Motor vehicles;Type-approval numbers: e2*2007/46*0624*04+*05, e2*2007/46*0625*05, Type: E;77000000 - Automotive;"The steering column may not have been manufactured in accordance with the specification.
This may result in steering failure and, consequently, loss of control over the vehicle, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Ireland;;;;JTV;The affected vehicles were manufactured between 22 June and 14 July 2019.;
Serious risk;Consumer;A12/00041/20;Germany;Spain;No;Injuries; ;Passenger van / Light commercial vehicle;Combo, Vauxhall Combo;Passenger car under Opel recall code: E19-190492.;Opel;Motor vehicles;Type-approval numbers: e2*2007/46*0622*04, e2*2007/46*0623*05, Type: E;77000000 - Automotive;"The steering column has not been manufactured in accordance with the specification.
This can cause steering failure and, consequently, loss of control of the vehicle, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Ireland;;;;E19-190492;The affected vehicles were manufactured between 22 June and 14 July 2019.;
Serious risk;Consumer;A12/00044/20;Germany;United States;No;Injuries; ;Passenger car;Cherokee;Passenger car under Jeep recall code: V99.;Jeep;Motor vehicles;Type-approval number: e4*2007/46*0783*17, Type: KL;77000000 - Automotive;"A pinion in the power steering system may be defective and could break.

As a result, the steering wheel may lock up, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Spain, Poland;;;;V99;The affected vehicles were manufactured between 26 June and 4 September 2019.;
Serious risk;Consumer;A12/00040/20;Germany;Germany;No;Injuries;;Passenger car;A-Class;Passenger car under Mercedes-Benz recall code: 9190203.;Mercedes-Benz;Motor vehicles;Model series: BR177, Type-approval number: e1*2007/46*1829*03, Type: F2A;77000000 - Automotive;"A weld on the seat-height adjustment system of the left-hand front seat may be defective and can break, causing the seat cushion to tilt forward in the event of a crash. 

As a result, the protective effect of the restraint system will be impaired, increasing the risk of an injury.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Estonia, Finland, Greece, Croatia, Hungary, Ireland, Luxembourg, Poland, Portugal, Sweden, Slovakia;;;;9190203;The affected vehicles were manufactured from 16 October to 30 November 2018.;
Serious risk;Consumer;A12/00017/20;United Kingdom;United Kingdom;No;Fire, Injuries;Consequently, hydraulic steering fluid could leak, resulting in a loss of steering control and increasing the risks of an accident, to following traffic and of a fire. ;Passenger Car;Continental 24, Continental Supersports and Continental Supersports Convertible;Passenger car under Bentley recall code: RE 19/27 (RB41).;Bentley;Motor vehicles;E11*2001/116*0221*24;77000000 - Automotive;The connecting hose of the hydraulic power assisted steering system may detach from connecting pipe of the cooler.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 29/11/2019";Denmark, Spain, The Netherlands, Portugal, Sweden;;;;RE 19/27 (RB41);The affected vehicles were manufactured from 02/10/2016 to 27/01/2018;
Serious risk;Consumer;A12/00042/20;Germany;United States;No;Injuries; ;Passenger car;X6, X6M;Passenger car under BMW recall code: 0052920200.;Bmw;Motor vehicles;Type-approval numbers: 1*2007/46*0412*17, e1*2007/46*0172*10, Typеs: X6, M7X;77000000 - Automotive;The four ISOFIX child-seat attachment brackets on the rear seats may not have the necessary structural durability. As a result, one or more of the brackets could break under increased fatigue loading during operation. This may increase the risk of injury in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Spain, Finland, France, Greece, Croatia, Hungary, Ireland, Iceland, Luxembourg, Malta, Poland, Sweden, Slovenia, Slovakia;;;;0052920200;The affected vehicles were manufactured between 11 September 2013 and 9 November 2019.;
Serious risk;Consumer;A12/00050/20;United Kingdom;Germany;No;Injuries;Consequently, in the event of an accident these elements might detach, increasing the risk of injuries.;Passenger Car;Fiesta;Passenger car under Ford recall code: 19S46.;Ford;Motor vehicles;e9*2007/46*3142*11 ;77000000 - Automotive;"An insufficient torque might have been applied to the bolts of the rear seat latches and centre seat belt retractor.



";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 28/11/2019";Bulgaria, Germany, Spain, Finland, France;;;;19S46;The affected vehicles were manufactured between 18/09/2019 and 25/09/2019.;
Serious risk;Consumer;A12/00048/20;United Kingdom;United Kingdom;No;Fire, Injuries;Consequently, the cylinder head's securing bolts might suffer excessive fatigue, leading to fuel leak, increasing the risk of accident and fire.;Passenger Car;Elise;Passenger car under Lotus recall code: 2019/02R.;Lotus;Motor vehicles;e4*2001/116*0008*71 to e4*2001/116*0008*72 e4*KS07/46*0011*00 to e4*KS07/46*0011*24;77000000 - Automotive;The plastic spacers between the engine fuel rail and cylinder head may expand and contract.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 03/12/2019";Sweden;;;;2019/02R;The affected vehicles were manufactured from 15/05/2012 to 30/06/2019.;
Serious risk;Consumer;A12/00053/20;United Kingdom;Germany;No;Injuries;Consequently, some functions of the PCB might be intermittently disrupted, causing the vehicle to stall or to run under in-optimal conditions, increasing the risk of an accident.;Passenger Car;Focus;Passenger car under Ford recall code: 19S42.;Ford;Motor vehicles;e13*2007/46*1911*;77000000 - Automotive;The pins of the Power Distribution Box (PDB) might have been defectively manufactured and cause an intermittent or poor connection.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 04/12/2019";Denmark, Estonia, Spain, Finland, France, Greece, Croatia, Ireland, Poland, Sweden, Slovenia, Slovakia;;;;19S42;The affected vehicles were manufactured between from 14/10/2019 to 16/11/2019.;
Serious risk;Consumer;A12/00037/20;Germany;Republic of Korea;No;Injuries; ;Passenger car;Elantra, IONIQ Hybrid, IONIQ Elektro ;Passenger car under Hyundai recall code: 91C064.;Hyundai;Motor vehicles;Type-approval numbers: e4*2007/46*1054, e4*2007/46*1157 , Types: AD, AE;77000000 - Automotive;"The wheel nuts may not have been tightened to the correct torque.
As a result, they could become detached, thus limiting driving stability and increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Spain, Finland, Ireland, Luxembourg, Poland, Sweden;;;;91C064;"The affected vehicles were manufactured between 1 July and 31 August 2019 (Elantra, IONIQ Hybrid)
and between 4 July and 31 August 2019 (IONIQ Elektro)";
Serious risk;Consumer;A12/00018/20;United Kingdom;Germany;No;Injuries;After prolonged use, the steering column may fail, leading to a loss of steering control, increasing the risk of accident.;Passenger Car;Fiesta;Passenger car under Ford recall code: 19S47.;Ford;Motor vehicles; e9*2007/46*3142*10 ;77000000 - Automotive;"The steering column may rattle due to an incorrect tolerance.

";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 02/12/2019";Denmark, Spain, Finland, France, Greece, The Netherlands, Poland, Sweden;;;;19S47;The affected vehicles were manufactured from 15/05/2019 to 17/06/2019.;
Serious risk;Consumer;A12/00031/20;Germany;Austria;No;Injuries; ;Passenger car;Z4;Passenger car under BMW recall code: 0063660100.;Bmw;Motor vehicles;Model series: G29, Type-approval number: e1*2007/46*1949 , Type: G4Z;77000000 - Automotive;The headlight control unit may have been damaged in the course of the supplier’s production process. This could result in a short circuit in the control unit, causing the headlights, headlamp illumination or the turn-signals to fail, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;0063660100;The affected vehicles were manufactured between 17 and 25 July 2019.;
Serious risk;Consumer;A12/00049/20;United Kingdom;United States;No;Injuries;Consequently, they might fail, causing the engine to unexpectedly stop running, increasing the risk of an accident.;Motorcycle;Chief, Chieftain, FTR1200, Roadmaster and Springfield;Motorcycle under Indian Motorcycle recall codes: I-19-05 A and I-19-05 B.;Indian Motorcycle;Motor vehicles;Indian Motorcycle Chief, Springfield, Chieftain, Roadmaster, FTR1200;77000000 - Automotive;The 10A circuit breakers might not meet the required functional specifications.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 12/12/2019";Denmark, Spain, Finland, Poland, Sweden;;;;I-19-05 A and I-19-05 B;The affected vehicles were manufactured from 12/02/2019 to 31/07/2019.;
Serious risk;Consumer;A12/00039/20;Germany;Germany;No;Injuries; ;Passenger car;1, 3, M3, X1, Z4;Passenger car under BMW recall codes: 0061950400, 0061670400, 0061120500.;Bmw;Motor vehicles; Type-approval numbers: e1*2001/116*0287, e1*2007/46*0273, e1*2001/116*0352, e1*2007/46*0277, e1*2007/46*0283, e1*2007/46*0275, e24*2007/46*0024, e1*2007/46*0373, e1*2001/116*0308, e1*2007/46*0314,, Types: 187, 1K2, 182, 1C, 1K4, X1, X1-N1, ZR, 390L, 3L, 3K, 3K-N1, 392C, 3C, M3, e1*2007/46*0315, e24*2007/46*0022, e1*2001/116*0346, e1*2007/46*0316, e1*2007/46*0377;77000000 - Automotive;The connector of the positive battery cable on the front power distribution box may be damaged over the lifetime of the vehicle by vibrations and currents. This may lead to failure of the engine and of the vehicle's electrical system, including headlights and occupant protection which will increase the risk of an accident and injuries to the occupants.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;0061950400, 0061670400, 0061120500;March 2007 to November 2011;
Serious risk;Consumer;A12/00066/20;France;France;No;Environment; ;Passenger car;208I, 2008I, 301I;2008I from 07/12/2017 to 08/03/2019 - VIN: VF3CUHMRPHY179596 to VF3CUHMRPKY054432 208I from 01/02/2017 to 12/04/2019 - VIN: VF3CCHMRPHT048291 to VF3CCHMMPKW050685 301 FROM 06/09/2017 TO 29/03/2019 - VIN: VF3DDHMRPHJ793927 to VF3DDHMRPKJ641509;Peugeot;Motor vehicles;e2*2007/46*0070*38, e2*2007/46*0070*40, e2*2007/46*0070*41, e2*2007/46*0070*42, e2*2007/46*0070*43, e2 *2007/46*0070*44, e2*2007/46*0070*45, e2/2007/46*0070*46, e2*2007/46*0071*14, e2/2007/46*0071*18, e2*2007/46*00701*19, e2/2007/46*0224*09, e2*2007/46*0224*10, e2*2007/46*0224*11;77000000 - Automotive;"Wrong engine calibration tuning might cause the exhaust emissions' level of nitrogen oxides (NOx) to exceed regulated limits.
Nitrogen oxides are harmful to human health and the environment.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 16/10/2019";Bulgaria, Denmark, Estonia, Finland, Croatia, Hungary, Ireland, Malta, Poland, Portugal, Slovenia, Slovakia;;;;JPM;301 FROM 06/09/2017 TO 29/03/2019 - VIN: VF3DDHMRPHJ793927 to VF3DDHMRPKJ641509;
Serious risk;Consumer;A12/00070/20;France;Germany;Unknown;Injuries; ;Passenger van / Light commercial vehicle;Citan;Passenger van / Light commercial vehicle.;Mercedes- Benz;Motor vehicles;Type-approval number: e2*2007/46*0130*21;77000000 - Automotive;The nuts on the rear axle wheel hubs and two screws on the brake calliper support can become loose. As a result, the rear wheels can be detached, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 01/12/2019";Bulgaria, Denmark, Luxembourg;;;;;The affected vehicles were manufactured between 8 September and 18 October 2019.;
Serious risk;Professional;A12/00027/20;Germany;Sweden;Unknown;Fire; ;Lorry;CN 280 UB4x2EB 11.9 CL1;Lorry;Scania;Motor vehicles;Type-approval numbers: none known, Types:  UB4x2EB;77000000 - Automotive;Cracks forming on the gas-pressure regulating device cause gas to leak leading to a risk of fire.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland;;;;"RC; Nr. noch nicht bekannt";2015 to 2018;
Serious risk;Consumer;A12/00139/20;France;Germany;No;Injuries; ;Passenger van / Light commercial vehicle;Citan;Passenger van / Light commercial vehicle.;Mercedes- Benz;Motor vehicles;Type-approval number: e2*2007/46*0130*21;77000000 - Automotive;The nuts on the rear axle wheel hubs and two screws on the brake calliper support can become loose. As a result, the rear wheels can be detached, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 01/01/2020";Bulgaria, Finland, Iceland, The Netherlands, Portugal, Sweden;;;;;The affected vehicles were manufactured between 11 September 2019 and 17 October 2019.;
Serious risk;Consumer;A12/00073/20;Italy;Italy;No;Injuries; ;Motorcycle;V85 TT;Motorcycle;Moto Guzzi;Motor vehicles;;77000000 - Automotive;"A part of the drive shaft can be non-compliant.
This can lead to an oil leak onto the back wheel, increasing the risk of an accident.";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Warning consumers of the risks
Date of entry into force: Unknown";Bulgaria, Estonia, Finland, Greece, Croatia, Luxembourg, Poland, Sweden, Slovenia;;;;;;
